Date,et
1955-01-01,1.9245480290815243e-05
1955-02-01,2.068507493215198e-05
1955-03-01,2.9640270072814675e-05
1955-04-01,3.332728615678658e-05
1955-05-01,3.3185959007379024e-05
1955-06-01,3.549782426254079e-05
1955-07-01,4.066614827231446e-05
1955-08-01,3.6115641851142333e-05
1955-09-01,2.7738177482439333e-05
1955-10-01,2.2556309976763166e-05
1955-11-01,1.4879788828579537e-05
1955-12-01,1.5318690577550732e-05
1956-01-01,1.68178110476976e-05
1956-02-01,2.1945120762824607e-05
1956-03-01,3.236034865235207e-05
1956-04-01,3.536069077488648e-05
1956-05-01,3.616122807134241e-05
1956-06-01,3.827976161176742e-05
1956-07-01,4.2560650808854825e-05
1956-08-01,4.084330300127714e-05
1956-09-01,3.2385950803533416e-05
1956-10-01,2.3656702209273454e-05
1956-11-01,1.67826455406556e-05
1956-12-01,1.4403640401057187e-05
1957-01-01,1.8451208736873848e-05
1957-02-01,1.994651752297077e-05
1957-03-01,3.166158915141195e-05
1957-04-01,3.72306377603058e-05
1957-05-01,3.76054104916099e-05
1957-06-01,3.7286860709787854e-05
1957-07-01,4.03941937282709e-05
1957-08-01,3.9880309661912876e-05
1957-09-01,3.6092692646250176e-05
1957-10-01,2.4888103481534695e-05
1957-11-01,1.6911113162072514e-05
1957-12-01,1.6221955042926066e-05
1958-01-01,1.8041292116769547e-05
1958-02-01,1.9603002219472824e-05
1958-03-01,3.2356111864978e-05
1958-04-01,3.70673436502235e-05
1958-05-01,3.527306389243651e-05
1958-06-01,3.73731220953952e-05
1958-07-01,4.291229324091812e-05
1958-08-01,3.5210520600521497e-05
1958-09-01,3.1009372006704976e-05
1958-10-01,2.3283756773715766e-05
1958-11-01,1.549591126986661e-05
1958-12-01,1.4392921356162197e-05
1959-01-01,1.6921742463548317e-05
1959-02-01,1.92109184316021e-05
1959-03-01,3.1537293906094794e-05
1959-04-01,3.812606916063573e-05
1959-05-01,3.5831110811781615e-05
1959-06-01,4.040452203730311e-05
1959-07-01,4.155963408631333e-05
1959-08-01,3.691112003556478e-05
1959-09-01,2.9621892072867886e-05
1959-10-01,2.4590320404516104e-05
1959-11-01,1.683450099554775e-05
1959-12-01,1.5228150443007661e-05
1960-01-01,1.8425305704111677e-05
1960-02-01,2.355780740031219e-05
1960-03-01,3.1698869587679154e-05
1960-04-01,3.6431033540425e-05
1960-05-01,3.306397253485526e-05
1960-06-01,3.853615878210586e-05
1960-07-01,4.426353551378246e-05
1960-08-01,3.956751354743153e-05
1960-09-01,2.921247466785512e-05
1960-10-01,2.506092242266213e-05
1960-11-01,1.846766299045693e-05
1960-12-01,1.658583345528239e-05
1961-01-01,1.8649448235951466e-05
1961-02-01,2.108396514030793e-05
1961-03-01,3.306093744456861e-05
1961-04-01,3.615662277609266e-05
1961-05-01,3.4032614997960126e-05
1961-06-01,3.565128717228963e-05
1961-07-01,3.977874433491202e-05
1961-08-01,3.741344299879381e-05
1961-09-01,3.082566539839648e-05
1961-10-01,2.6032639498634176e-05
1961-11-01,1.566098993809423e-05
1961-12-01,1.515449603998155e-05
1962-01-01,1.759893289032567e-05
1962-02-01,2.1408568805874843e-05
1962-03-01,3.276933563262736e-05
1962-04-01,3.551708949730382e-05
1962-05-01,3.3526523032850866e-05
1962-06-01,3.628502299294026e-05
1962-07-01,4.2353598716652474e-05
1962-08-01,4.052201812384703e-05
1962-09-01,3.214714140325671e-05
1962-10-01,2.232640058491202e-05
1962-11-01,1.5134908139101746e-05
1962-12-01,1.473450482031361e-05
1963-01-01,1.907353999263871e-05
1963-02-01,2.270079605018093e-05
1963-03-01,3.3772496829324536e-05
1963-04-01,3.512823907779907e-05
1963-05-01,3.373088858734213e-05
1963-06-01,3.620639888871151e-05
1963-07-01,4.14234570672804e-05
1963-08-01,3.7943956481924926e-05
1963-09-01,3.208459788961615e-05
1963-10-01,2.341796331772385e-05
1963-11-01,1.4936790921668793e-05
1963-12-01,1.5324271576113947e-05
1964-01-01,1.786757219384135e-05
1964-02-01,2.31439422360579e-05
1964-03-01,3.2066874312650776e-05
1964-04-01,3.299812442351355e-05
1964-05-01,3.0091893713637008e-05
1964-06-01,3.448274326619484e-05
1964-07-01,4.1604255024301126e-05
1964-08-01,3.837413998199588e-05
1964-09-01,2.9915025287799775e-05
1964-10-01,2.4714076246984537e-05
1964-11-01,1.6232856734248618e-05
1964-12-01,1.6114388270274586e-05
1965-01-01,2.0037860082304525e-05
1965-02-01,2.1390097681194124e-05
1965-03-01,3.194717793254222e-05
1965-04-01,3.7481907804296154e-05
1965-05-01,3.610392465322122e-05
1965-06-01,3.6822078544061304e-05
1965-07-01,3.9888772593834254e-05
1965-08-01,3.597076986439265e-05
1965-09-01,2.8823321592965096e-05
1965-10-01,2.4543896117142047e-05
1965-11-01,1.7052910646817796e-05
1965-12-01,1.6317609831754644e-05
1966-01-01,1.769437216191287e-05
1966-02-01,2.0241997869217396e-05
1966-03-01,3.321454203694834e-05
1966-04-01,3.627681947992053e-05
1966-05-01,3.316185134188307e-05
1966-06-01,3.8693480104565774e-05
1966-07-01,4.348951626135235e-05
1966-08-01,3.988551428134312e-05
1966-09-01,3.290957349980489e-05
1966-10-01,2.41037449446573e-05
1966-11-01,1.5954163119057754e-05
1966-12-01,1.625182258407833e-05
1967-01-01,1.883425321723783e-05
1967-02-01,1.9667981665513695e-05
1967-03-01,3.214586038385129e-05
1967-04-01,3.641198143935363e-05
1967-05-01,3.192654459566128e-05
1967-06-01,3.479501394653753e-05
1967-07-01,3.993139972018235e-05
1967-08-01,3.696015647172555e-05
1967-09-01,2.9575666229867323e-05
1967-10-01,2.0513612951433237e-05
1967-11-01,1.6121201342326523e-05
1967-12-01,1.7067559333759045e-05
1968-01-01,1.9861579007467716e-05
1968-02-01,2.3226544651092663e-05
1968-03-01,3.0365967177965803e-05
1968-04-01,3.825713047218675e-05
1968-05-01,3.2164453679313896e-05
1968-06-01,3.601664111279623e-05
1968-07-01,3.92958381004328e-05
1968-08-01,3.874692749352561e-05
1968-09-01,3.346619732909394e-05
1968-10-01,2.4055811925730813e-05
1968-11-01,1.5256726211064995e-05
1968-12-01,1.659183340428551e-05
1969-01-01,1.940196598508231e-05
1969-02-01,2.0633884931087698e-05
1969-03-01,3.130993940240528e-05
1969-04-01,3.576338618161984e-05
1969-05-01,3.378914703286859e-05
1969-06-01,3.703814239436994e-05
1969-07-01,4.0838587674719744e-05
1969-08-01,3.747901251197318e-05
1969-09-01,3.146462928595502e-05
1969-10-01,2.4589042988150987e-05
1969-11-01,1.747278379762665e-05
1969-12-01,1.646690169575706e-05
1970-01-01,1.8762363250762736e-05
1970-02-01,2.0079081413190007e-05
1970-03-01,3.311636118428054e-05
1970-04-01,3.776666173327302e-05
1970-05-01,3.6825225494891443e-05
1970-06-01,3.882736037941677e-05
1970-07-01,3.827905486155456e-05
1970-08-01,3.800691822539734e-05
1970-09-01,3.072013972035972e-05
1970-10-01,2.4816592610330637e-05
1970-11-01,1.793620212945225e-05
1970-12-01,1.667748365882645e-05
1971-01-01,1.676894861066766e-05
1971-02-01,2.0338195719366394e-05
1971-03-01,3.1524592801014614e-05
1971-04-01,3.306653856472612e-05
1971-05-01,3.2187398726851844e-05
1971-06-01,3.6849342860880514e-05
1971-07-01,3.953681176387116e-05
1971-08-01,3.5008792305236265e-05
1971-09-01,3.0542679952462045e-05
1971-10-01,2.454474449455442e-05
1971-11-01,1.7968166418334044e-05
1971-12-01,1.5924603554704128e-05
1972-01-01,1.7360808954608347e-05
1972-02-01,2.1766379975521497e-05
1972-03-01,3.338476944976586e-05
1972-04-01,3.661860183189655e-05
1972-05-01,3.379928637629487e-05
1972-06-01,3.381725080264652e-05
1972-07-01,3.920741732962608e-05
1972-08-01,3.802417551351639e-05
1972-09-01,3.09505622405811e-05
1972-10-01,2.6575092514988653e-05
1972-11-01,1.735472829750248e-05
1972-12-01,1.6174019806744e-05
1973-01-01,1.72620815484426e-05
1973-02-01,2.1247717002802615e-05
1973-03-01,3.343773081630481e-05
1973-04-01,3.6364451794646656e-05
1973-05-01,3.433729224315312e-05
1973-06-01,3.591473920639988e-05
1973-07-01,3.8388067950014185e-05
1973-08-01,3.6616470328685974e-05
1973-09-01,2.8838398653682413e-05
1973-10-01,2.3300278043848447e-05
1973-11-01,1.6056898048371646e-05
1973-12-01,1.7106896939743864e-05
1974-01-01,1.8755514148307793e-05
1974-02-01,2.138000634135093e-05
1974-03-01,3.3696103505924505e-05
1974-04-01,3.537974348570314e-05
1974-05-01,3.357417379514332e-05
1974-06-01,3.681575609523556e-05
1974-07-01,4.1324571071910036e-05
1974-08-01,3.62741976306407e-05
1974-09-01,2.9326485062349228e-05
1974-10-01,2.4652199517525186e-05
1974-11-01,1.7444198495370373e-05
1974-12-01,1.67709252385767e-05
1975-01-01,1.9365109155491698e-05
1975-02-01,1.99768423176529e-05
1975-03-01,3.3092215492851564e-05
1975-04-01,3.595606319621826e-05
1975-05-01,3.6879769316730516e-05
1975-06-01,3.71280338153647e-05
1975-07-01,4.216508942191713e-05
1975-08-01,3.948705621629771e-05
1975-09-01,3.55913984896055e-05
1975-10-01,2.6655478727650063e-05
1975-11-01,1.634351973800908e-05
1975-12-01,1.5677944404533843e-05
1976-01-01,1.7522651593763306e-05
1976-02-01,2.0773313888001988e-05
1976-03-01,3.107841917438272e-05
1976-04-01,3.6880218089257834e-05
1976-05-01,3.358231084592735e-05
1976-06-01,3.7168334153717894e-05
1976-07-01,4.143857492550022e-05
1976-08-01,3.756244545551298e-05
1976-09-01,3.07100758744856e-05
1976-10-01,2.146596157939549e-05
1976-11-01,1.597441957792323e-05
1976-12-01,1.576094559298283e-05
1977-01-01,1.6938228811905776e-05
1977-02-01,2.1530909983858376e-05
1977-03-01,3.326365552274017e-05
1977-04-01,3.5144487570065276e-05
1977-05-01,3.502145943087483e-05
1977-06-01,3.800075153877537e-05
1977-07-01,4.240550971379665e-05
1977-08-01,3.722465094854193e-05
1977-09-01,3.2539953171562364e-05
1977-10-01,2.105858205397687e-05
1977-11-01,1.4836414431673053e-05
1977-12-01,1.4915942843585923e-05
1978-01-01,1.9755113157638004e-05
1978-02-01,2.1350506199446574e-05
1978-03-01,3.301001240554492e-05
1978-04-01,3.81461525072726e-05
1978-05-01,3.6648664269813396e-05
1978-06-01,3.540444365731872e-05
1978-07-01,4.137022669220945e-05
1978-08-01,3.80302296189868e-05
