Date,prcp
1961-01-01,3.949151234567901e-05
1961-02-01,5.4876543209876536e-05
1961-03-01,6.732175925925925e-05
1961-04-01,7.035956790123456e-05
1961-05-01,3.6159722222222216e-05
1961-06-01,2.7242283950617283e-05
1961-07-01,2.2538580246913577e-05
1961-08-01,6.124614197530864e-05
1961-09-01,5.6836419753086414e-06
1961-10-01,2.9398148148148144e-07
1961-11-01,1.871682098765432e-05
1961-12-01,6.800771604938273e-05
1962-01-01,4.5959104938271605e-05
1962-02-01,4.292129629629629e-05
1962-03-01,6.545987654320987e-05
1962-04-01,4.017746913580246e-05
1962-05-01,2.9300154320987657e-05
1962-06-01,3.0868055555555554e-05
1962-07-01,1.714891975308642e-05
1962-08-01,1.2837191358024691e-05
1962-09-01,4.7135030864197525e-05
1962-10-01,2.4008487654320988e-05
1962-11-01,3.4395833333333334e-05
1962-12-01,2.410648148148148e-05
1963-01-01,6.0756172839506175e-05
1963-02-01,3.4395833333333334e-05
1963-03-01,2.930015432098765e-05
1963-04-01,3.782561728395062e-05
1963-05-01,3.733564814814814e-05
1963-06-01,6.761574074074074e-05
1963-07-01,2.8124228395061727e-05
1963-08-01,4.311728395061729e-06
1963-09-01,5.0564814814814815e-05
1963-10-01,0.0
1963-11-01,3.723765432098765e-05
1963-12-01,4.644907407407407e-05
1964-01-01,7.751311728395062e-05
1964-02-01,5.517052469135802e-05
1964-03-01,5.967824074074074e-05
1964-04-01,4.644907407407407e-05
1964-05-01,4.056944444444444e-05
1964-06-01,3.184799382716049e-05
1964-07-01,0.0001050493827160494
1964-08-01,0.00013111574074074073
1964-09-01,5.399459876543209e-05
1964-10-01,5.928626543209877e-05
1964-11-01,6.0756172839506175e-06
1964-12-01,3.909953703703703e-05
1965-01-01,2.0284722222222224e-05
1965-02-01,5.517052469135802e-05
1965-03-01,9.270216049382717e-05
1965-04-01,2.410648148148148e-05
1965-05-01,1.5581018518518515e-05
1965-06-01,5.399459876543209e-05
1965-07-01,7.996296296296297e-05
1965-08-01,2.234259259259259e-05
1965-09-01,2.312654320987654e-05
1965-10-01,2.822222222222222e-05
1965-11-01,1.8814814814814812e-05
1965-12-01,1.332716049382716e-05
1966-01-01,6.614583333333333e-05
1966-02-01,5.350462962962963e-05
1966-03-01,3.851157407407407e-05
1966-04-01,1.9108796296296294e-05
1966-05-01,4.9878858024691356e-05
1966-06-01,3.586574074074074e-05
1966-07-01,3.772762345679012e-05
1966-08-01,4.3313271604938264e-05
1966-09-01,4.0373456790123455e-05
1966-10-01,1.254320987654321e-05
1966-11-01,1.1955246913580248e-05
1966-12-01,3.449382716049383e-05
1967-01-01,3.282793209876543e-05
1967-02-01,4.213734567901235e-05
1967-03-01,5.5856481481481484e-05
1967-04-01,2.3812499999999996e-05
1967-05-01,5.360262345679012e-05
1967-06-01,3.106404320987654e-05
1967-07-01,8.006095679012345e-05
1967-08-01,5.5562499999999995e-05
1967-09-01,1.2445216049382717e-05
1967-10-01,3.33179012345679e-06
1967-11-01,2.4204475308641977e-05
1967-12-01,2.9594135802469132e-05
1968-01-01,4.096141975308641e-05
1968-02-01,9.407407407407408e-06
1968-03-01,1.3719135802469134e-05
1968-04-01,2.185262345679012e-05
1968-05-01,3.782561728395062e-05
1968-06-01,6.438194444444445e-05
1968-07-01,2.312654320987654e-05
1968-08-01,2.9398148148148146e-05
1968-09-01,2.1460648148148147e-05
1968-10-01,3.909953703703704e-05
1968-11-01,4.556712962962962e-05
1968-12-01,2.773225308641975e-05
1969-01-01,2.410648148148148e-05
1969-02-01,2.22445987654321e-05
1969-03-01,3.1260030864197525e-05
1969-04-01,3.2043981481481474e-05
1969-05-01,2.2440586419753084e-05
1969-06-01,3.527777777777778e-05
1969-07-01,2.106867283950617e-05
1969-08-01,3.919753086419753e-05
1969-09-01,4.3117283950617286e-05
1969-10-01,3.821759259259258e-06
1969-11-01,3.1358024691358023e-06
1969-12-01,3.243595679012345e-05
1970-01-01,2.5380401234567897e-05
1970-02-01,2.587037037037037e-05
1970-03-01,7.378935185185186e-05
1970-04-01,1.3425154320987656e-05
1970-05-01,5.154475308641975e-05
1970-06-01,2.2440586419753084e-05
1970-07-01,7.32013888888889e-05
1970-08-01,1.920679012345679e-05
1970-09-01,1.7540895061728396e-05
1970-10-01,4.537114197530864e-05
1970-11-01,1.6756944444444444e-05
1970-12-01,4.929089506172839e-05
1971-01-01,4.213734567901235e-05
1971-02-01,3.890354938271605e-05
1971-03-01,9.505401234567902e-05
1971-04-01,2.6360339506172838e-05
1971-05-01,2.685030864197531e-05
1971-06-01,5.213271604938271e-05
1971-07-01,0.0001095570987654321
1971-08-01,9.436805555555556e-05
1971-09-01,7.075154320987654e-05
1971-10-01,5.174074074074074e-05
1971-11-01,3.341589506172839e-05
1971-12-01,2.69483024691358e-05
1972-01-01,7.60432098765432e-05
1972-02-01,3.48858024691358e-05
1972-03-01,2.4204475308641977e-05
1972-04-01,5.781635802469135e-06
1972-05-01,3.9589506172839506e-05
1972-06-01,6.722376543209877e-05
1972-07-01,1.822685185185185e-05
1972-08-01,5.575848765432098e-05
1972-09-01,2.116666666666666e-05
1972-10-01,8.917438271604937e-06
1972-11-01,2.9496141975308636e-05
1972-12-01,4.929089506172839e-05
1973-01-01,2.920216049382716e-05
1973-02-01,4.2235339506172834e-05
1973-03-01,6.20300925925926e-05
1973-04-01,4.2431327160493826e-05
1973-05-01,4.625308641975308e-05
1973-06-01,0.00011925848765432098
1973-07-01,8.025694444444443e-05
1973-08-01,3.851157407407407e-05
1973-09-01,3.508179012345679e-05
1973-10-01,1.950077160493827e-05
1973-11-01,2.8418209876543207e-06
1973-12-01,4.213734567901234e-05
1974-01-01,2.6360339506172838e-05
1974-02-01,6.20300925925926e-05
1974-03-01,2.802623456790123e-05
1974-04-01,2.5772376543209875e-05
1974-05-01,3.48858024691358e-05
1974-06-01,2.5674382716049382e-05
1974-07-01,4.341126543209876e-05
1974-08-01,5.9384259259259256e-05
1974-09-01,3.664969135802469e-05
1974-10-01,2.9398148148148144e-07
1974-11-01,1.9794753086419753e-05
1974-12-01,3.870756172839506e-05
1975-01-01,4.929089506172839e-05
1975-02-01,6.722376543209877e-05
1975-03-01,5.370061728395062e-05
1975-04-01,4.056944444444445e-05
1975-05-01,5.54645061728395e-05
1975-06-01,3.978549382716049e-05
1975-07-01,8.760648148148146e-05
1975-08-01,3.782561728395061e-05
1975-09-01,4.360725308641975e-05
1975-10-01,1.6952932098765433e-05
1975-11-01,3.096604938271605e-05
1975-12-01,3.9589506172839506e-05
1976-01-01,3.978549382716049e-05
1976-02-01,1.254320987654321e-05
1976-03-01,3.517978395061728e-05
1976-04-01,2.38125e-05
1976-05-01,0.00010691126543209877
1976-06-01,5.0564814814814815e-05
1976-07-01,2.53804012345679e-05
1976-08-01,1.9108796296296294e-05
1976-09-01,4.889891975308642e-05
1976-10-01,4.7918981481481474e-05
1976-11-01,3.880555555555555e-05
1976-12-01,4.60570987654321e-05
1977-01-01,3.243595679012345e-05
1977-02-01,1.5189043209876544e-05
1977-03-01,6.01682098765432e-05
1977-04-01,1.2641203703703704e-05
1977-05-01,1.5483024691358025e-05
1977-06-01,2.410648148148148e-05
1977-07-01,3.0868055555555554e-05
1977-08-01,7.035956790123458e-05
1977-09-01,5.203472222222222e-05
1977-10-01,4.066743827160494e-05
1977-11-01,1.5581018518518518e-05
1977-12-01,3.6551697530864194e-05
1978-01-01,9.34861111111111e-05
1978-02-01,1.3131172839506174e-05
1978-03-01,2.8810185185185183e-05
1978-04-01,3.282793209876543e-05
1978-05-01,3.7629629629629624e-05
1978-06-01,3.498379629629629e-05
1978-07-01,4.3999228395061724e-05
1978-08-01,4.1059413580246914e-05
1978-09-01,3.939351851851852e-05
1978-10-01,3.919753086419753e-06
1978-11-01,3.341589506172839e-05
1978-12-01,1.6756944444444444e-05
1979-01-01,3.175e-05
1979-02-01,8.456867283950618e-05
1979-03-01,3.096604938271605e-05
1979-04-01,5.673842592592592e-05
1979-05-01,7.721913580246913e-05
1979-06-01,1.5189043209876544e-05
1979-07-01,7.104552469135802e-05
1979-08-01,2.4890432098765433e-05
1979-09-01,5.379861111111111e-05
1979-10-01,1.3915123456790123e-05
1979-11-01,3.5767746913580246e-05
1979-12-01,2.106867283950617e-05
1980-01-01,4.5077160493827154e-05
1980-02-01,2.9594135802469132e-05
1980-03-01,0.00010612731481481481
1980-04-01,2.028472222222222e-05
1980-05-01,4.11574074074074e-05
1980-06-01,3.106404320987654e-05
1980-07-01,7.545524691358024e-06
1980-08-01,2.1460648148148147e-05
1980-09-01,4.880092592592593e-05
1980-10-01,1.5385030864197526e-05
1980-11-01,2.2636574074074073e-05
1980-12-01,1.4895061728395062e-05
1981-01-01,8.035493827160494e-06
1981-02-01,4.056944444444445e-05
1981-03-01,3.664969135802469e-05
1981-04-01,2.077469135802469e-05
1981-05-01,5.948225308641976e-05
1981-06-01,3.3709876543209874e-05
1981-07-01,3.302391975308642e-05
1981-08-01,5.791435185185185e-05
1981-09-01,5.585648148148148e-06
1981-10-01,2.6066358024691356e-05
1981-11-01,9.01543209876543e-06
1981-12-01,8.104089506172838e-05
1982-01-01,3.743364197530864e-05
1982-02-01,3.5865740740740735e-05
1982-03-01,2.4400462962962966e-05
1982-04-01,5.203472222222222e-05
1982-05-01,2.3616512345679014e-05
1982-06-01,4.60570987654321e-05
1982-07-01,9.201620370370371e-05
1982-08-01,4.203935185185185e-05
1982-09-01,4.13533950617284e-05
1982-10-01,3.5767746913580246e-05
1982-11-01,2.1460648148148147e-05
1982-12-01,4.28233024691358e-05
1983-01-01,3.4395833333333334e-05
1983-02-01,7.653317901234569e-05
1983-03-01,6.212808641975308e-05
1983-04-01,4.958487654320987e-05
1983-05-01,1.4993055555555555e-05
1983-06-01,5.036882716049383e-05
1983-07-01,2.5380401234567897e-05
1983-08-01,7.231944444444443e-05
1983-09-01,3.184799382716049e-05
1983-10-01,1.90108024691358e-05
1983-11-01,4.380324074074073e-05
1983-12-01,3.6845679012345676e-05
1984-01-01,3.1554012345679014e-05
1984-02-01,6.447993827160493e-05
1984-03-01,5.2720679012345675e-05
1984-04-01,6.888966049382715e-05
1984-05-01,7.672916666666666e-05
1984-06-01,2.2930555555555555e-05
1984-07-01,6.996759259259258e-05
1984-08-01,3.2043981481481474e-05
1984-09-01,7.1535493827160494e-06
1984-10-01,2.743827160493827e-06
1984-11-01,6.859567901234567e-06
1984-12-01,1.1269290123456788e-05
1985-01-01,2.8810185185185183e-05
1985-02-01,5.644444444444444e-05
1985-03-01,1.1367283950617285e-05
1985-04-01,6.0756172839506175e-06
1985-05-01,1.5483024691358025e-05
1985-06-01,4.4391203703703695e-05
1985-07-01,7.731712962962963e-05
1985-08-01,4.027546296296295e-05
1985-09-01,1.1857253086419752e-05
1985-10-01,6.036419753086419e-05
1985-11-01,6.301003086419753e-05
1985-12-01,2.1558641975308643e-05
1986-01-01,1.567901234567901e-05
1986-02-01,3.0966049382716044e-05
1986-03-01,2.6066358024691356e-05
1986-04-01,1.1759259259259259e-05
1986-05-01,3.243595679012345e-05
1986-06-01,2.9496141975308636e-05
1986-07-01,1.4797067901234566e-05
1986-08-01,0.00011837654320987653
1986-09-01,1.7050925925925926e-05
1986-10-01,3.419984567901235e-05
1986-11-01,5.2622685185185186e-05
1986-12-01,5.115277777777778e-05
1987-01-01,6.918364197530864e-05
1987-02-01,7.849305555555555e-05
1987-03-01,4.2431327160493826e-05
1987-04-01,7.9375e-06
1987-05-01,4.056944444444445e-05
1987-06-01,5.0858796296296296e-05
1987-07-01,4.517515432098766e-05
1987-08-01,3.145601851851852e-05
1987-09-01,3.9687499999999996e-05
1987-10-01,3.625771604938271e-06
1987-11-01,2.69483024691358e-05
1987-12-01,1.234722222222222e-05
1988-01-01,4.380324074074073e-05
1988-02-01,1.7736882716049382e-05
1988-03-01,2.5674382716049382e-05
