Date,prcp
1961,3.932818930041152e-05
1962,3.4526491769547326e-05
1963,3.615972222222222e-05
1964,5.882079475308642e-05
1965,3.7302983539094646e-05
1966,3.6951838991769544e-05
1967,3.704166666666666e-05
1968,3.1211033950617284e-05
1969,2.5845871913580247e-05
1970,3.615155606995885e-05
1971,5.5684992283950615e-05
1972,3.5882073045267486e-05
1973,4.664506172839506e-05
1974,3.341589506172839e-05
1975,4.688188014403291e-05
1976,4.124723508230453e-05
1977,3.384053497942387e-05
1978,3.4951131687242794e-05
1979,4.307645318930041e-05
1980,3.3669045781893e-05
1981,3.432233796296296e-05
1982,4.123906893004115e-05
1983,4.3100951646090534e-05
1984,3.727848508230452e-05
1985,3.641287294238683e-05
1986,3.6216885288065844e-05
1987,3.739281121399176e-05
1988,3.532677469135802e-05
1989,4.224350565843621e-05
1990,4.256198559670781e-05
1991,4.5771283436213986e-05
1992,4.591010802469135e-05
1993,3.7237654320987654e-05
1994,4.4758680555555555e-05
1995,4.386856995884773e-05
1996,2.9153163580246916e-05
1997,4.9364390432098764e-05
1998,4.700437242798354e-05
1999,3.1880658436213985e-05
2000,3.3244405864197525e-05
2001,3.5204282407407406e-05
2002,3.3032085905349794e-05
2003,5.3226980452674894e-05
2004,3.8307420267489705e-05
2005,3.330156893004115e-05
2006,2.8124228395061724e-05
2007,2.840187757201646e-05
2008,3.553909465020576e-05
2009,3.875655864197531e-05
2010,2.345318930041152e-05
2011,2.654816100823045e-05
2012,3.1431520061728394e-05
2013,4.704520318930041e-05
2014,4.0732767489711936e-05
2015,4.455452674897119e-05
2016,3.814409722222222e-05
2017,4.4701517489711934e-05
2018,4.5999935699588474e-05
2019,4.221900720164609e-05
2020,4.5191486625514395e-05
2021,4.187602880658436e-05
